# nicho|tema|termos de busca no Pexels (em ingles, o acervo em portugues e pobre)
# ---------------------------------------------------------------- MAR
mar|O que existe no ponto mais fundo do oceano|deep sea,underwater ocean,submarine,dark water,bioluminescence
mar|Por que quase todo o fundo do mar continua sem mapa|ocean waves,sonar ship,deep sea,research vessel,marine science
mar|As criaturas que produzem a propria luz no escuro do oceano|bioluminescence,jellyfish,deep sea,glowing water,night ocean
mar|O que aconteceu com as cidades que o mar engoliu|ancient ruins,underwater ruins,ocean waves,diver exploring,stone columns
mar|Por que o mar fica azul se a agua e transparente|ocean surface,blue water,sunlight underwater,waves,sea horizon
mar|A maior migracao de animais do planeta acontece todo dia no oceano|fish school,plankton,underwater,ocean current,marine life
mar|O barulho que os navios fazem esta ensurdecendo as baleias|whale,cargo ship,ocean,underwater,sea waves
mar|Quanto plastico realmente existe no meio do Atlantico|plastic pollution ocean,beach trash,sea waves,marine debris,cleanup
mar|Por que existem rios dentro do fundo do mar|underwater cave,deep sea,ocean floor,diver,salt water
mar|As tempestades que so acontecem no fundo do oceano|storm sea,underwater current,deep ocean,dark water,waves crashing
mar|O que os corais fazem quando a agua esquenta demais|coral reef,bleached coral,tropical fish,underwater,ocean
mar|Como um polvo resolve problema sem ter um cerebro so|octopus,underwater,marine life,coral reef,tentacles
mar|O animal mais antigo do planeta vive no fundo do mar|deep sea,jellyfish,ancient ocean,marine life,underwater
mar|Por que quase nenhum submarino desce ate o fundo de verdade|submarine,deep sea vehicle,ocean research,underwater,pressure
mar|O som misterioso que o oceano gravou e ninguem explicou|sonar,ocean waves,underwater microphone,dark sea,research ship
# ------------------------------------------------------------ DINHEIRO
dinheiro|Existe dinheiro esquecido no seu nome e voce nao sabe|brazilian money,cash bills,mobile banking,smartphone payment,wallet
dinheiro|Por que quem ganha mais continua sem sobrar dinheiro|money counting,office worker,shopping,credit card,calculator
dinheiro|O golpe do Pix que volta a circular todo ano|smartphone payment,mobile banking,cash,scam alert,phone screen
dinheiro|A conta que mostra por que juros compostos assustam|calculator finance,coins stack,growth chart,money,investment
dinheiro|Quanto custa de verdade parcelar sem juros|credit card,shopping,receipt,calculator,store payment
